gbifID,occurrenceID,scientificName,verbatimScientificName,individualCount,depth,locality,habitat,month,year
4853566464,CCY-004096,"Americorchestia salomani Bousfield, 1991",Americorchestia salomani,3,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566463,CCY-004095,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,5,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566462,CCY-004094,"Americorchestia salomani Bousfield, 1991",Americorchestia salomani,1,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566461,CCY-004093,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,4,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566460,CCY-004092,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,Villa y Puerto Coronel Andrés Sánchez Magallanes,zona intermareal de la playa,6,2019
4853566459,CCY-004091,"Haustorius mexicanus Ortiz, Cházaro-Olvera & Winfield, 2001",Haustorius jayneae,1,0.55,Playa Miramar,zona submareal de la playa,3,2019
4853566458,CCY-004089,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,27,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566457,CCY-004088,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,22,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566456,CCY-004087,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,1,0.55,Playa Miramar,zona submareal de la playa,3,2019
4853566455,CCY-004086,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,6,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566454,CCY-004085,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,6,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566453,CCY-004084,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,2,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566452,CCY-004083,"Excorallana berbicensis Boone, 1918",Excorallana berbicensis,1,0.55,Playa Miramar,zona submareal de la playa,3,2019
4853566451,CCY-004082,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,1,0.55,Playa Miramar,zona submareal de la playa,3,2019
4853566450,CCY-004081,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,4,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566449,CCY-004080,"Haustorius jayneae Foster & LeCroy, 1991",Haustorius jayneae,4,0,Playa Miramar,zona intermareal de la playa,3,2019
4853566448,CCY-004199,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566447,CCY-004198,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,2,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566446,CCY-004197,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566445,CCY-004196,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,34,0,El Cuyo,zona intermareal de la playa,3,2019
4853566444,CCY-004195,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,42,0,El Cuyo,zona intermareal de la playa,3,2019
4853566443,CCY-004194,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,59,0,El Cuyo,zona intermareal de la playa,3,2019
4853566442,CCY-004193,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,15,0,El Cuyo,zona intermareal de la playa,3,2019
4853566441,CCY-004192,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,El Cuyo,zona intermareal de la playa,3,2019
4853566440,CCY-004191,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,14,0,El Cuyo,zona intermareal de la playa,3,2019
4853566439,CCY-004190,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,Sisal,zona submareal de la playa,6,2020
4853566438,CCY-004189,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona intermareal de la playa,6,2020
4853566437,CCY-004188,"Emerita talpoida (Say, 1817)",Emerita talpoida,1,0,Sisal,zona supramareal de la playa,6,2020
4853566436,CCY-004187,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0.55,Sisal,zona submareal de la playa,6,2020
4853566435,CCY-004186,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,3,0.55,Sisal,zona submareal de la playa,6,2020
4853566434,CCY-004185,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0.55,Sisal,zona submareal de la playa,6,2020
4853566433,CCY-004184,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0.55,Sisal,zona submareal de la playa,6,2020
4853566432,CCY-004183,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Sisal,zona intermareal de la playa,6,2020
4853566431,CCY-004182,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Sisal,zona intermareal de la playa,6,2020
4853566430,CCY-004181,"Emerita Scopoli, 1777",Emerita,1,0,Sisal,zona supramareal de la playa,6,2020
4853566429,CCY-004180,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0.55,Sisal,zona submareal de la playa,6,2020
4853566428,CCY-004216,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,6,0,El Cuyo,zona intermareal de la playa,3,2019
4853566427,CCY-004215,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,7,0,El Cuyo,zona intermareal de la playa,3,2019
4853566426,CCY-004214,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,El Cuyo,zona intermareal de la playa,3,2019
4853566425,CCY-004213,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,5,0,El Cuyo,zona intermareal de la playa,3,2019
4853566424,CCY-004212,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,El Cuyo,zona intermareal de la playa,3,2019
4853566423,CCY-004211,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566422,CCY-004210,"Cassidinidea ovalis (Say, 1818)",Cassidinidea ovalis,2,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566421,CCY-004219,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,6,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566420,CCY-004218,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566419,CCY-004217,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,2,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566418,CCY-004326,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,85,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566417,CCY-004205,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,El Cuyo,zona intermareal de la playa,3,2019
4853566416,CCY-004325,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,292,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566415,CCY-004204,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,3,0,El Cuyo,zona intermareal de la playa,3,2019
4853566414,CCY-004324,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,133,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566413,CCY-004203,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0,El Cuyo,zona intermareal de la playa,3,2019
4853566412,CCY-004323,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566411,CCY-004202,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,El Cuyo,zona intermareal de la playa,3,2019
4853566410,CCY-004322,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,32,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566409,CCY-004201,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,4,0,El Cuyo,zona intermareal de la playa,3,2019
4853566408,CCY-004321,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566407,CCY-004200,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,El Cuyo,zona intermareal de la playa,3,2019
4853566406,CCY-004320,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,184,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566405,CCY-004209,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566404,CCY-004208,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566403,CCY-004207,"Rhepoxynius epistomus (Shoemaker, 1938)",Rhepoxynius epistomus,1,0.55,El Cuyo,zona submareal de la playa,3,2019
4853566402,CCY-004327,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,450,0.55,Chahuayxol,zona intermareal de la playa,4,2019
4853566401,CCY-004206,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,3,0,El Cuyo,zona intermareal de la playa,3,2019
4853566400,CCY-004315,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,72,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566399,CCY-004314,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,208,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566398,CCY-004313,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,8,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566397,CCY-004312,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,164,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566396,CCY-004311,"Emerita Scopoli, 1777",Emerita,1,0.55,Puerto Ángel,zona submareal de la playa,4,2019
4853566395,CCY-004310,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566394,CCY-004319,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,48,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566393,CCY-004318,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,13,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566392,CCY-004317,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0.55,Chahuayxol,zona submareal de la playa,4,2019
4853566391,CCY-004316,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,372,0,Chahuayxol,zona intermareal de la playa,4,2019
4853566390,CCY-004304,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566389,CCY-004303,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566388,CCY-004302,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,3,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566387,CCY-004301,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,3,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566386,CCY-004300,"Ancinus depressus (Say, 1818)",Ancinus depressus,2,0.55,Boca Paila,zona submareal de la playa,4,2019
4853566385,CCY-004309,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566384,CCY-004308,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566383,CCY-004307,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0.55,Puerto Ángel,zona submareal de la playa,4,2019
4853566382,CCY-004306,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,2,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566381,CCY-004305,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,61,0,Puerto Ángel,zona intermareal de la playa,4,2019
4853566380,CCY-004139,"Exosphaeroma diminutum Menzies & Frankenberg, 1966",Exosphaeroma diminutum,2,0,Heroica Ciudad de Champotón,zona intermareal de la playa,6,2019
4853566379,CCY-004259,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,37,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566378,CCY-004138,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Heroica Ciudad de Champotón,zona intermareal de la playa,6,2019
4853566377,CCY-004258,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,2,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566376,CCY-004137,"Excirolana mayana (Ives, 1891)",Excirolana mayana,1,0,Heroica Ciudad de Champotón,zona intermareal de la playa,6,2019
4853566375,CCY-004257,"Mexorchestia carpenteri raduloviciae Wildish & LeCroy, 2014",Mexorchestia carpenteri raduloviciae,1,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566374,CCY-004136,"Cerapus benthophilus Thomas & Heard, 1979",Cerapus benthophilus,1,0.55,Heroica Ciudad de Champotón,zona submareal de la playa,6,2019
4853566373,CCY-004256,"Tylos marcuzzii Giordani Soika, 1954",Tylos marcuzzii,24,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566372,CCY-004135,"Exosphaeroma diminutum Menzies & Frankenberg, 1966",Exosphaeroma diminutum,3,0.55,Heroica Ciudad de Champotón,zona submareal de la playa,6,2019
4853566371,CCY-004255,"Excirolana braziliensis Richardson, 1912",Excirolana braziliensis,1,0,Isla Blanca,zona intermareal de la playa,3,2019
4853566370,CCY-004134,"Cassidinidea ovalis (Say, 1818)",Cassidinidea ovalis,4,0.55,Heroica Ciudad de Champotón,zona submareal de la playa,6,2019
